bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://linkedgeodata.org/triplify/node927359403,POINT(11.1188796 46.0677578),http://linkedgeodata.org/triplify/user330007,2010-09-27T00:50:51,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack20,POINT (11.1260397836 46.0707322854),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack20-rastrelliere.7
http://qrowd-project.eu/resource/rastrelliere.33,"LINESTRING (11.123608083798278 46.06565931082283, 11.12364936552253 46.06565982001159)",,,,monofacciale,9,,,via II Androna Borgonuovo  n.posti  9  -  monofacciale,via II Androna Borgonuovo  n.posti  9  -  monofacciale,ZTL,via II Androna Borgonuovo,trento,
http://linkedgeodata.org/triplify/node2673313374,POINT(11.1238149 46.071843),http://linkedgeodata.org/triplify/user330007,2014-02-15T19:33:59,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack27,POINT (11.1241704311 46.0668197466),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack42,POINT (11.1247105539 46.0695750693),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/way80767282,"LINESTRING(11.1200976 46.0666727,11.1200944 46.0666869,11.119822 46.0666577,11.1198252 46.0666434,11.1200976 46.0666727)",http://linkedgeodata.org/ontology/user135609,2014-06-26T17:53:26,,wall_loops,,,,,,,,osm,
http://linkedgeodata.org/triplify/node1633007373,POINT(11.123097 46.0701031),http://linkedgeodata.org/triplify/user330007,2012-02-18T21:34:28,,,4,,,,,,,osm,
http://linkedgeodata.org/triplify/node930522335,POINT(11.119682 46.0718554),http://linkedgeodata.org/triplify/user330007,2011-06-19T13:06:44,,,21,,,,,,,osm,
http://linkedgeodata.org/triplify/node1313709021,POINT(11.122631 46.0684829),http://linkedgeodata.org/triplify/user330007,2014-03-27T21:21:15,,,12,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.17,"LINESTRING (11.122632027780972 46.068589218946975, 11.122629630791579 46.068526713424845)",,,,monofacciale,9,,,via Oss Mazzurana  n.posti  9  -  monofacciale,via Oss Mazzurana  n.posti  9  -  monofacciale,ZTL,via Oss Mazzurana,trento,http://example.org/cluster/bikerack7-rastrelliere.17
