bikerack,wkt,contributor,modified,access,capacity,dataset,covered,parking,description,stuff,label,area,streetName,prove,cluster
http://qrowd-project.eu/resource/fb5102fb-0025-4c1a-8b30-dc4ae8887ada,POINT (11.1216423305 46.0697098545),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/c1e1b5c7-bc59-4faa-86c8-990357df5014,"LINESTRING (11.12601148493452 46.0707666923513, 11.126008584560092 46.07072398674901)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/0e1abb2c-c95b-40ff-8e7e-69e6636ecee7,"LINESTRING (11.122583183161087 46.06524098495769, 11.122435577570707 46.06526542825131)",,,,28,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/node1633007373,POINT(11.123097 46.0701031),,,,4,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/91ff7872-1b43-4b56-bd20-012d688ca710,"LINESTRING (11.119898102538201 46.06757343795648, 11.119956820174615 46.067574263219356)",,,,8,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/7b3c9112-8e13-4802-80f1-2575e7618438,"LINESTRING (11.12601263667185 46.070801139381835, 11.126011730174541 46.07077754041918)",,,,4,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/15a53418-1a59-4582-a4b0-e68b81940c75,POINT (11.1201652146 46.0670909963),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node1614387739,POINT(11.122027 46.0689382),,,,,,,,,,,,,LinkedGeoData,
http://qrowd-project.eu/resource/01a070f0-093a-4f90-852d-2acf9ff29625,"LINESTRING (11.119207626830484 46.06661544527116, 11.11951320685895 46.06664551948941)",,,,52,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/2e85ce79-90f0-4f92-9d02-48404e748b59,POINT (11.1229762692 46.0650817962),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/e0ac3719-3a73-4023-b708-ecb9931beb0b,"LINESTRING (11.119421419514838 46.068822432505264, 11.11952072605173 46.06882952594478)",,,,24,,,,,,,,,Rastrelliere per biciclette,
http://qrowd-project.eu/resource/371e665e-5a2c-4c8a-bb7c-242c2884c7dd,POINT (11.1223396013 46.0652832904),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/440f094d-327a-4fac-ac9d-76d6f28a51cf,POINT (11.1187184272 46.0697027826),,,,,,,,,,,,,Virtual City Explorer Bike Racks,
http://qrowd-project.eu/resource/node963712275,POINT(11.1203361 46.0693289),,,,,,,,,,,,,LinkedGeoData,
